,discount,percent_retail_price,solar_capacity,battery_capacity,objective_value,solar_penetration,lcoe
29,0.1,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
30,0.12,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
31,0.12,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
32,0.12,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
33,0.12,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
34,0.12,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
35,0.14,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
36,0.14,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
37,0.14,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
38,0.14,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
39,0.14,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
40,0.16,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
41,0.16,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
42,0.16,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
43,0.16,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
44,0.16,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
45,0.18,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
46,0.18,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
47,0.18,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
48,0.18,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
49,0.18,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
50,0.2,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
51,0.2,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
52,0.2,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
53,0.2,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
54,0.2,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
55,0.22,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
56,0.22,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
57,0.22,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
58,0.22,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
59,0.22,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
60,0.24,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
61,0.24,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
62,0.24,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
63,0.24,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
64,0.24,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
65,0.26,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
66,0.26,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
67,0.26,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
68,0.26,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
69,0.26,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
70,0.28,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
71,0.28,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
72,0.28,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
73,0.28,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
74,0.28,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
75,0.3,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
76,0.3,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
77,0.3,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
78,0.3,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
79,0.3,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
80,0.32,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
81,0.32,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
82,0.32,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
83,0.32,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
84,0.32,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
85,0.34,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
86,0.34,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
87,0.34,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
88,0.34,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
89,0.34,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
90,0.36,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
91,0.36,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
92,0.36,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
93,0.36,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
94,0.36,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
95,0.38,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
96,0.38,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
97,0.38,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
98,0.38,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
99,0.38,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
100,0.4,0.0,0.2869399725198903,0.0,466822.0902961547,0.10222300410398656,0.11286895581136136
101,0.4,0.25,0.29045722284760933,0.0,466820.8782799615,0.1034760323646631,0.11286866276824065
102,0.4,0.5,0.29666513862024846,0.0,466819.1598468446,0.10568761618106465,0.11286824728286503
103,0.4,0.75,0.31011285935063443,0.0,466815.0269814479,0.11047839663364248,0.11286724803237638
104,0.4,1.0,2.807,0.0,465656.65000714606,1.0,0.11258717388369498
105,0.42,0.0,0.3634590625512603,0.0,465018.48982928164,0.12948310030326338,0.11243287854417869
106,0.42,0.25,0.3788513358115671,0.0,464945.19287803373,0.13496663192432032,0.11241515669569835
107,0.42,0.5,0.4192843033053633,0.0,464812.1782506791,0.14937096662107707,0.11238299621655815
108,0.42,0.75,0.5023980847937464,0.0,464502.30765463255,0.17898043633549923,0.11230807523201299
109,0.42,1.0,2.807,0.0,450136.96499876596,1.0,0.10883480081089156
110,0.44,0.0,0.41480550335929045,0.0,462866.0468833169,0.1477753841678983,0.11191245761122659
111,0.44,0.25,0.44073234161643277,0.0,462653.92880240805,0.15701187802509184,0.11186117137863699
112,0.44,0.5,0.49396394018318474,0.0,462283.4408342488,0.1759757535387192,0.1117715942335617
113,0.44,0.75,0.6824051265651002,0.0,461239.8391339187,0.243108345765978,0.11151927062538693
114,0.44,1.0,2.807,0.0,434617.279990386,1.0,0.10508242773808815
115,0.46,0.0,0.45872379128896984,0.0,460463.0754641137,0.1634213720302707,0.11133146352254081
116,0.46,0.25,0.4932298836291105,0.0,460063.64815445803,0.17571424425689725,0.11123488937941321
117,0.46,0.5,0.5852108395897897,0.0,459320.07457115944,0.20848266462051646,0.11105510702622043
118,0.46,0.75,0.8540766053989794,0.0,456991.0638761853,0.3042666923402136,0.11049199527405708
119,0.46,1.0,2.807,0.0,419097.594984813,1.0,0.10133005466596344
120,0.48,0.0,0.4926510485268357,0.0,457843.77710865246,0.17550803296289125,0.11069816557781036
121,0.48,0.25,0.5457927743555414,0.0,457193.6918401869,0.1944398911134811,0.11054098697173045
122,0.48,0.5,0.6739062726268576,0.0,455842.1850012325,0.24008061012713133,0.11021421759029881
123,0.48,0.75,1.0452542035957308,0.0,451753.61088681157,0.37237413736933767,0.10922567591533375
124,0.48,1.0,2.807,0.0,403577.90997643303,1.0,0.09757768159316003
125,0.5,0.0,0.5308897893480142,0.0,455014.5418864387,0.1891306695219146,0.1100141087777703
126,0.5,0.25,0.6095496332387031,0.0,453991.07525256975,0.2171534140501258,0.10976665345662373
127,0.5,0.5,0.7572544362702202,0.0,451872.69810231717,0.26977357900613474,0.10925446900363013
128,0.5,0.75,1.3057285479221878,0.0,445301.8410477494,0.4651687025016701,0.10766575717967966
129,0.5,1.0,2.807,0.0,388058.22496805305,1.0,0.09382530852035664
130,0.52,0.0,0.5803937957549741,0.0,451958.13734876155,0.2067665820288472,0.10927512663473189
131,0.52,0.25,0.6708008564853876,0.0,450442.9697993242,0.2389742987122863,0.10890878711751718
132,0.52,0.5,0.8466790549169552,0.0,447423.66498309013,0.301631298509781,0.1081787750016202
133,0.52,0.75,1.8414367186560927,0.0,436841.54506993113,0.6560159311208026,0.10562021393585927
134,0.52,1.0,2.807,0.0,372538.53996247996,1.0,0.0900729354482319
135,0.54,0.0,0.6267007740757661,0.0,448625.5870857839,0.22326354616165517,0.1084693775577494
136,0.54,0.25,0.7304353294138703,0.0,446564.3935316569,0.2602192124737693,0.10797101904169924
137,0.54,0.5,0.9397471436683862,0.0,442489.1245322313,0.3347870123506898,0.10698569429769715
138,0.54,0.75,2.807,0.0,423570.58393331646,1.0,0.10241154074485284
139,0.54,1.0,2.807,0.0,357018.8549541,1.0,0.08632056237542851
140,0.56,0.0,0.6694294136203789,0.0,445043.41755861335,0.2384857191380046,0.10760327515498068
141,0.56,0.25,0.7910095392371773,0.0,442368.4942546529,0.2817989095964294,0.10695652812550321
142,0.56,0.5,1.0363392160096014,0.0,437036.87904493173,0.369198153191878,0.1056674420817656
143,0.56,0.75,2.807,0.0,408050.8989249365,1.0,0.09865916767204945
144,0.56,1.0,2.807,0.0,341499.16994572,1.0,0.0825681893026251
145,0.58,0.0,0.7163143575701548,0.0,441213.0877659831,0.25518858481302276,0.10667717218536102
146,0.58,0.25,0.8432917328990704,0.0,437855.0685538557,0.3004245574987782,0.1058652651870721
147,0.58,0.5,1.1574332420104823,0.0,431005.95618758636,0.4123381695797942,0.10420927637016528
148,0.58,0.75,2.807,0.0,392531.2139193635,1.0,0.09490679459992474
149,0.58,1.0,2.807,0.0,325979.4849401469,1.0,0.07881581623050037
150,0.6,0.0,0.7543831695287615,0.0,437143.32562678907,0.2687506838363953,0.10569317889841089
151,0.6,0.25,0.9006935571849628,0.0,433017.14352382754,0.3208740852101756,0.10469554430671164
152,0.6,0.5,1.2917393396086259,0.0,424250.9412522152,0.4601850158919223,0.10257603857338106
153,0.6,0.75,2.807,0.0,377011.5289109835,1.0,0.09115442152712133
154,0.6,1.0,2.807,0.0,310459.79993176705,1.0,0.07506344315769699
